Word,Frequency
僕,134
君,133
って,79
わかる,70
てる,60
だ,57
何,50
夏,47
夜,44
今,39
行く,38
忘れる,38
YOU,38
出す,37
なんて,36
まだ,36
見る,36
心,34
中,32
言葉,31
花,31
ただ,30
もっと,29
思う,29
あなた,29
誰,28
愛,28
ぜ,28
待つ,27
言う,26
笑う,26
遠く,26
全て,25
人,24
風,24
あの,23
知る,23
今日,22
みたい,21
ずっと,21
口,21
けど,21
目,20
月,20
さよなら,20
さぁ,20
歌う,20
乾杯,20
無い,19
こんな,19
生きる,19
世界,18
見える,18
歩く,18
私,18
全部,18
日,18
そんな,18
匂い,18
きっと,17
声,17
雲,17
空,17
合う,17
遠い,16
人生,16
書く,16
じゃ,16
ねぇ,16
is,16
街,15
胸,15
手,15
乗る,15
さえ,15
一人,14
穴,14
向こう,14
?,14
恋,14
THE,14
時,13
夢,13
少し,13
音,13
痛い,13
方,13
想い出,13
顔,13
春,13
込む,13
取る,13
です,13
居る,13
教える,13
I,13
ほら,12
どこ,12
消える,12
たい,12
深い,12
涙,12
大人,12
散る,12
what,12
present,12
変わる,11
色,11
詩,11
強い,11
息,11
咲く,11
置く,11
ME,11
触れる,10
日々,10
くれる,10
踊る,10
すら,10
先,10
描く,10
考える,10
残る,10
歌,10
明日,10
みる,10
いく,10
くらい,10
本当,10
わ,10
光,10
need,10
ダンス,10
ホール,10
My,10
出る,9
終わる,9
部屋,9
分かる,9
雨,9
あんた,9
荷物,9
言える,9
青い,9
聞こえる,9
吸う,9
揺れる,9
出会い,9
肩,8
幸せ,8
出来る,8
時間,8
番,8
付く,8
する,8
降る,8
頬,8
死ぬ,8
前,8
欲しい,8
吐く,8
ねむる,8
まち,8
一旦,8
吠える,8
人間,8
From,8
命,7
馬鹿,7
たって,7
弱い,7
頭,7
なれる,7
自分,7
空く,7
ばかり,7
優しい,7
朝,7
立つ,7
ひとりぼっち,7
楽,7
出せる,7
つまる,7
精々,7
間違う,7
座る,7
去る,7
抜ける,7
返す,7
嗚呼,7
最後,7
t,7
ARE,7
It,7
about,7
時代,7
億劫,7
LOVE,7
かく,6
なん,6
毎日,6
引く,6
冷める,6
思い出,6
やっと,6
頃,6
守る,6
切る,6
奥,6
音楽,6
黙る,6
転がる,6
満たす,6
探す,6
慣れる,6
寂しい,6
アイムアルーザー,6
回,6
苦しい,6
ちゃう,6
道,6
お前,6
なぁ,6
火,6
気,6
木陰,6
来る,6
星,6
変える,6
気づく,6
間,6
海,6
的,6
なんか,6
that,6
ゆく,6
注ぐ,6
以外,6
偽物,6
Here,6
OH,6
愛する,5
込める,5
どうせ,5
最低,5
泣く,5
何処,5
呼吸,5
辛い,5
良い,5
価値,5
冷たい,5
二,5
いつも,5
未来,5
聞く,5
信ずる,5
埋める,5
開く,5
温い,5
眠る,5
戻る,5
他人,5
孤独,5
打つ,5
呑む,5
喉,5
結局,5
ねえ,5
長い,5
永遠,5
向く,5
意味,5
度,5
笑える,5
ヒーロー,5
ストーリー,5
鮮やか,5
足,5
吹く,5
追う,5
影,5
閉じる,5
逃げる,5
気付く,5
身体,5
二人,5
いる,5
同じ,5
皆,5
正義,5
形,5
浅い,5
想う,5
物,5
あと,5
笑顔,5
分かつ,5
気持ち,5
てく,5
過ごす,5
好き,5
甘い,5
Don,5
even,5
It’s,5
飛ぶ,5
そうさ,5
つめる,5
事,5
わたし,5
映画,5
with,5
大丈夫,5
there,5
Heart,5
s,5
映る,4
鳴らす,4
限界,4
離れる,4
愛す,4
怖い,4
為,4
なる,4
当たり前,4
違う,4
あいつ,4
縋る,4
消す,4
嘘,4
青空,4
森,4
報う,4
飛ばす,4
年老いる,4
でる,4
落ちる,4
重たい,4
ボク,4
見せる,4
独り,4
会う,4
ポケット,4
もん,4
覗く,4
塵,4
抱える,4
過ぎる,4
勇気,4
思える,4
叫ぶ,4
先生,4
我儘,4
指,4
あぁ,4
暮れる,4
諦める,4
動く,4
きれる,4
放る,4
握る,4
云う,4
味,4
様,4
辞める,4
合図,4
減らす,4
こぼす,4
愚痴,4
ケンカ,4
%,4
伝える,4
場所,4
貴方,4
想像,4
力,4
足りる,4
ちゃんと,4
どれ,4
Your,4
m,4
down,4
Make,4
a,4
SO,4
just,4
上手い,4
隙間,4
輝く,4
“,4
”,4
lovin,4
めくるめく,4
エルマ,4
In,4
AND,4
Nothing,4
AH,4
hah,4
揺らす,3
窓,3
照らす,3
メーデー,3
爆ぜる,3
怯える,3
最期,3
微か,3
期待,3
年,3
限,3
生活,3
小さな,3
六,3
邪魔,3
殴る,3
寿命,3
残す,3
街灯,3
歌詞,3
成る,3
そろそろ,3
そっと,3
ふれる,3
はず,3
明ける,3
付ける,3
占める,3
ああ,3
悪い,3
わけ,3
夕陽,3
鳴る,3
繕う,3
木漏れ日,3
微睡む,3
向こう側,3
広がる,3
つける,3
紙,3
美しい,3
茜,3
差す,3
滑る,3
早い,3
灯,3
後悔,3
秋,3
冬,3
持つ,3
思い,3
流す,3
しめる,3
行ける,3
昔,3
上がる,3
阿呆,3
ほう,3
だす,3
会える,3
灰,3
願う,3
上,3
一度,3
太陽,3
走る,3
魂,3
近づく,3
文字,3
線,3
ます,3
バス,3
停,3
乾く,3
遊ぶ,3
疲れる,3
覚える,3
陽,3
坂道,3
あぜ道,3
鼻歌,3
さようなら,3
綺麗,3
とく,3
丘,3
グルーヴ,3
理屈,3
あっはっはっは,3
この世,3
暇,3
三,3
帰る,3
今夜,3
色褪せる,3
亡霊,3
めく,3
昨日,3
眠り,3
水,3
終わり,3
2,3
塞ぐ,3
感傷,3
ひとくち,3
増える,3
鳥,3
物語,3
思考,3
希望,3
無駄,3
やっぱ,3
靴紐,3
解ける,3
舐,3
む,3
遥か,3
越える,3
靴,3
路傍,3
おれ,3
獣,3
一切,3
合切,3
ほしい,3
衝動,3
牡丹,3
溶かす,3
チョコレート,3
ては,3
More,3
calm,3
ask,3
for,3
of,3
昇る,3
此処,3
If,3
幸福,3
手探り,3
食べる,3
要る,3
大きな,3
憶う,3
つく,3
今更,3
下,3
自信,3
LA,3
短い,3
教わる,3
恐れる,3
やる,3
救い,3
暮らし,3
枯れる,3
上げる,3
はらり,3
瞬き,3
吹雪,3
云フ,3
続ける,3
正しい,3
防衛,3
本能,3
こそ,3
レプリカ,3
季節,3
例,3
う,3
種,3
嘘つき,3
メラメラ,3
たぎる,3
ちょっと,3
RE,3
AN,3
Deep,3
sincerely,3
0,2
覚める,2
終電,2
静か,2
回る,2
脆い,2
高度,2
破る,2
明々,2
させる,2
光年,2
悪夢,2
闇,2
まさに,2
煌めく,2
畳,2
透明,2
天井,2
眺める,2
円,2
漁る,2
語る,2
大きい,2
止まる,2
残り,2
晴れ,2
夜祭り,2
観,2
詭弁,2
悔しい,2
我慢,2
子供,2
内緒,2
残酷,2
届く,2
不安,2
焦がす,2
後回し,2
繋がり,2
想い,2
姿,2
初めて,2
ずつ,2
明かり,2
開ける,2
一生,2
多い,2
躓く,2
棲む,2
呪う,2
叩く,2
後,2
烏,2
面影,2
焼ける,2
ビール,2
投げる,2
山,2
煙,2
難しい,2
呼ぶ,2
抱く,2
通り,2
ちゃ,2
結果,2
遠吠え,2
隠す,2
勝つ,2
表情,2
前髪,2
伝わる,2
淑女,2
そっぽ,2
天国,2
響く,2
逃す,2
掴む,2
進める,2
いら,2
憶える,2
求める,2
運命,2
現れる,2
一瞬,2
熱烈,2
腫らす,2
悲しむ,2
さらば,2
掲げる,2
ピース,2
サイン,2
以上,2
噛む,2
夜明け,2
入れる,2
燃える,2
染まる,2
げ,2
盗む,2
捻り,2
だらけ,2
削る,2
擦る,2
切れる,2
捨てる,2
たった,2
相談,2
青春,2
背中,2
瞑る,2
高い,2
売れる,2
背,2
撫でる,2
記憶,2
絶える,2
俯く,2
上る,2
締める,2
入道,2
隣,2
町,2
誘蛾,2
日暮,2
軒先,2
風鈴,2
下りる,2
祭り,2
屋台,2
憧憬,2
近付く,2
夜空,2
振る,2
鼻先,2
風景,2
放つ,2
合える,2
無,2
雨音,2
惜しい,2
景色,2
踏む,2
足音,2
だい,2
始める,2
パレード,2
砕ける,2
ドラマ,2
氷菓,2
眼,2
汗,2
拭う,2
一杯,2
薄い,2
歳,2
飲む,2
鼻,2
校庭,2
ぼうと,2
神,2
琥珀,2
溢れる,2
感情,2
泳ぐ,2
灯る,2
賑わう,2
人だかり,2
夢現,2
滲む,2
渇き,2
空腹,2
拍子,2
聖者,2
行進,2
停滞,2
秒針,2
再現,2
正解,2
のる,2
350,2
ml,2
弾ける,2
泡,2
未読,2
映える,2
繊細,2
贅沢,2
理想,2
最適,2
選択,2
些細,2
話題,2
敬愛,2
型,2
はまる,2
常識,2
今度,2
惚れる,2
腫れる,2
重ねる,2
恋愛,2
反省,2
帳,2
願い,2
起きる,2
裏表,2
刻む,2
うやむや,2
混ざる,2
なに,2
共,2
確か,2
ばらばら,2
うまい,2
やれる,2
つもり,2
競う,2
慰める,2
居,2
覆す,2
椅子,2
脱ぐ,2
重力,2
戯れる,2
アイス,2
ピック,2
砕く,2
儘,2
歌える,2
実,2
試す,2
騙す,2
みせる,2
まだまだ,2
瞳,2
随分,2
ESCAPE,2
…,2
can,2
tell,2
how,2
worry,2
than,2
on,2
talking,2
to,2
巡る,2
NOT,2
getting,2
右手,2
左手,2
垂れる,2
打てる,2
右,2
左,2
買う,2
舞う,2
あげる,2
止む,2
足る,2
夕暮れる,2
真下,2
次第,2
小さい,2
掛ける,2
どんな,2
募る,2
新しい,2
メロディ,2
歪,2
思惑,2
絡まる,2
アイロニー,2
虫酸,2
机上,2
空論,2
巻く,2
エキセントリック,2
桃源,2
郷,2
見当,2
サヨナラ,2
合わせる,2
根拠,2
直せる,2
雫,2
くだる,2
馬鹿馬鹿しい,2
損,2
動かす,2
縫う,2
青,2
割る,2
大切,2
悲しい,2
一緒,2
晴れる,2
交わす,2
穏やか,2
酷い,2
舞台,2
生まれる,2
高架,2
橋,2
頭上,2
り,2
次,2
花見,2
流れる,2
溜息,2
数える,2
安泰,2
不足,2
故,2
たまに,2
只,2
導,2
割れる,2
魔法,2
将来,2
とても,2
愛おしい,2
キャラクター,2
観る,2
伸びる,2
青々,2
緑青,2
返せる,2
カタチ,2
様々,2
Be,2
植える,2
続く,2
育てる,2
そりゃ,2
眠い,2
国,2
寝る,2
そべる,2
ギブ,2
テイク,2
駆る,2
背負う,2
預ける,2
周る,2
不,2
器用,2
ひどい,2
望む,2
応える,2
Yes,2
NO,2
This,2
World,2
we,2
ribbons,2
words,2
Take,2
got,2
surprising,2
ve,2
LIKE,2
TRUE,2
realize,2
されど,2
以降,1
反射,1
痛ましい,1
夢中,1
目指す,1
欠片,1
濁る,1
崩れる,1
なくす,1
真,1
夜中,1
訳,1
譲れる,1
億,1
祈り,1
暮らせる,1
準,1
60000,1
家賃,1
4000,1
ぼやける,1
コーヒー,1
相,1
嫌い,1
上手,1
最小,1
音量,1
ガス,1
シャワー,1
売る,1
余る,1
関町,1
逃げ水,1
斜,1
構える,1
方法,1
使い方,1
儚い,1
指先,1
往ける,1
歩ける,1
髪,1
におい,1
踊らす,1
緩む,1
口元,1
マフラー,1
沈める,1
泣き虫,1
叫び声,1
霞む,1
でく,1
元,1
辿る,1
着く,1
憧れ,1
僅か,1
しまえる,1
程,1
ちっぽけ,1
真面目,1
身,1
戸惑う,1
退屈,1
肯定,1
情けない,1
ずるい,1
嬉しい,1
中心,1
塗る,1
紛い,1
夕暮れ,1
脳裏,1
鼓動,1
大体,1
言い訳,1
深海,1
纏う,1
諦め,1
土,1
口調,1
真似,1
模する,1
エイミー,1
心地良い,1
報道,1
ニュース,1
載る,1
包丁,1
研く,1
硝子,1
破く,1
日暮れ,1
爪,1
先立つ,1
認める,1
やつ,1
叶える,1
世間,1
妬み,1
殴れる,1
機会,1
瓶,1
街路,1
ギター,1
折れる,1
惜しむ,1
うしろ,1
夏風,1
罵倒,1
失望,1
嫌悪,1
興味,1
傷付ける,1
中身,1
入れ物,1
両手,1
受ける,1
潤う,1
変われる,1
壊す,1
傷つく,1
強がる,1
キミ,1
どおり,1
もはや,1
懲り懲り,1
夢見る,1
おやすみ,1
ぼんくら,1
飽き飽き,1
楽園,1
四半,1
世紀,1
スーパースター,1
お腹,1
すかす,1
幸先,1
悪,1
天候,1
摩天,1
楼,1
イアン,1
カート,1
中指,1
立てる,1
しょう,1
勉強,1
朗らか,1
我,1
端,1
デカイ,1
自,1
意識,1
磨耗,1
減る,1
酸っぱい,1
葡萄,1
膝,1
ちまう,1
パッ,1
沸く,1
フワッ,1
ちゃえる,1
輪廻,1
俺,1
負け犬,1
耳,1
すませる,1
整える,1
黄金,1
アイオライト,1
離す,1
うだうだ,1
フラフラ,1
左様,1
ロスタイム,1
スレスレ,1
通る,1
飛行,1
機,1
不思議,1
なぜ,1
不甲斐,1
必要,1
定まる,1
大事,1
蹴る,1
騒ぐ,1
腹,1
ぐしゃぐしゃ,1
衒い,1
外連,1
触る,1
おぼろ,1
つなぐ,1
いける,1
カサブタ,1
荒くれる,1
蘇る,1
蛹,1
食べかけ,1
戻す,1
懐かしい,1
騒めく,1
裂く,1
数瞬,1
夕焼け,1
痛む,1
得,1
¥,1
含む,1
抜く,1
わざと,1
値札,1
貼る,1
ヒッチコック,1
サスペンス,1
ニーチェ,1
フロイト,1
"　　

",1
ドラマチック,1
散り際,1
値,1
嫌,1
現実,1
ちらつく,1
浮かぶ,1
海月,1
鳥居,1
背伸び,1
裏,1
じき,1
夏日,1
桜桃,1
梅,1
錆びる,1
標識,1
写真,1
紙切れ,1
噤む,1
ふ,1
夏野,1
石,1
坂,1
叩ける,1
ごめん,1
目蓋,1
口先,1
彩色,1
レイド,1
バック,1
うねる,1
暮らす,1
隅っこ,1
不甲斐ない,1
誘う,1
練る,1
真空,1
パック,1
まるで,1
ブレーメン,1
マーチ,1
細胞,1
乗れる,1
バックパック,1
春風,1
騒めき,1
仕方,1
装う,1
だし,1
貸す,1
数,1
経つ,1
ぜえぜえ,1
ライター,1
煙草,1
換気,1
扇,1
缶,1
干す,1
下着,1
うなだれる,1
ぐちゃぐちゃ,1
死体,1
ぬいぐるみ,1
め,1
冷房,1
耐える,1
つむる,1
葛藤,1
思想,1
必ず,1
向かい,1
ビル,1
布団,1
潜る,1
許す,1
じゃあ,1
世の中,1
スカート,1
顔出し,1
歴史,1
失くす,1
バケツ,1
月光,1
口触り,1
宝石,1
とっく,1
海辺,1
底,1
柄杓,1
花火,1
透ける,1
凜と,1
叶う,1
仕事,1
学校,1
自然,1
作る,1
蓋,1
ころ,1
古びる,1
柔らかい,1
麻,1
蛇,1
跳ね,1
潮風,1
肌,1
縛り,1
ついに,1
しゃがむ,1
鳴く,1
ようやく,1
さざなみ,1
ライオン,1
アフリカ,1
砂浜,1
満ちる,1
すっ,1
人溜まり,1
振り,1
地球,1
悪意,1
我が儘,1
青白い,1
醜い,1
波止場,1
硬い,1
ペン,1
湖月,1
浸す,1
波,1
艶やか,1
赴く,1
かわいそう,1
病人,1
犯す,1
頭蓋,1
スープ,1
喉笛,1
住まう,1
盲目,1
盲動,1
妄想,1
焦燥,1
消極,1
駄目,1
逝く,1
屋,1
メモ,1
十,1
ホーム,1
待ち合わせ,1
追慕,1
切,1
うたう,1
驚き,1
近く,1
特別,1
全,1
部,1
しびれ,1
切らす,1
遅い,1
1,1
歩,1
繰る,1
現在,1
地,1
近づける,1
転がす,1
こっち,1
CURRENT,1
feeling,1
soso,1
haven,1
noticed,1
yet,1
curious,1
OK,1
Going,1
Only,1
Questions,1
mouth,1
fool,1
ayy,1
Go,1
fxxk,1
Self,1
詰める,1
払う,1
無縁,1
由縁,1
逆戻り,1
徐々,1
遠のく,1
moumodorenai,1
mind,1
relying,1
medicine,1
Seen,1
by,1
anyone,1
why,1
heated,1
do,1
W,1
drinking,1
poisoned,1
juice,1
突く,1
マグカップ,1
右眉,1
静けさ,1
左眉,1
小説,1
っけ,1
日差し,1
覗ける,1
雹,1
剥がす,1
渡す,1
剣,1
柄,1
ルビー,1
サファイア,1
鉛,1
心臓,1
傍,1
小雨,1
靴跡,1
塞がる,1
こくる,1
虫,1
大気,1
征く,1
どっち,1
清々,1
何に,1
生,1
対価,1
ヨダカ,1
なれ,1
愚問,1
映す,1
聞ける,1
押す,1
白熊,1
涼しい,1
熱意,1
イマドキドキドキ,1
高ぶる,1
流石,1
裏返し,1
故意,1
奴,1
濃やか,1
ある,1
狼,1
強気,1
当たる,1
ドクドク,1
独特,1
苦,1
介する,1
悪戯,1
哀,1
偶然,1
必然,1
ロマンス,1
突然,1
POPs,1
新鮮,1
若気,1
至り,1
決して,1
ヒビ,1
入る,1
ハート,1
亡くす,1
挫ける,1
偉大,1
壊れる,1
スピーカー,1
かすか,1
イラつく,1
焦げる,1
時計,1
一体,1
何時,1
何分,1
袋小路,1
ただただ,1
祈る,1
汚れる,1
等,1
逆上せる,1
在り,1
エチュード,1
滑稽,1
猿芝居,1
失敗,1
空回り,1
百鬼,1
夜行,1
番狂わせ,1
生まれつき,1
操れる,1
怒り,1
っこ,1
シガラミ,1
別れ,1
ディスティニー,1
手遅れ,1
屈託,1
下さる,1
呟く,1
遣る瀬,1
にゃ,1
群青,1
雨樋,1
伝う,1
五月雨,1
長方,1
宿る,1
連ねる,1
表面,1
上澄み,1
薄暮,1
曲がり角,1
霞,1
^,1
雨上がり,1
抉る,1
手紙,1
読む,1
関わる,1
面倒,1
望み,1
友達,1
戻れる,1
エーデルワイス,1
黒ずむ,1
耳飾り,1
おしまい,1
エンド,1
ロール,1
途中,1
据える,1
張る,1
裂ける,1
花束,1
丈,1
ずれる,1
オート,1
クチュール,1
解れる,1
ボタン,1
ちぐはぐ,1
エピローグ,1
台詞,1
導く,1
腕,1
引力,1
有る,1
淡い,1
側,1
最近,1
暑い,1
過去,1
客,1
少ない,1
今年,1
川沿い,1
嵐,1
泥棒,1
名,1
韻,1
如し,1
語れる,1
葉,1
仕舞い,1
淘汰,1
刺激,1
タラタラ,1
熄む,1
癪,1
温もり,1
包む,1
炎,1
メロディー,1
イイ,1
何故,1
急,1
知識,1
ハラハラ,1
食す,1
yummy,1
ヨスガ,1
朽ちる,1
業火,1
傷跡,1
ヒリつく,1
水面,1
メモリー,1
遮る,1
堅苦しい,1
セオリー,1
風船,1
萎む,1
泉,1
護る,1
繋ぐ,1
学ぶ,1
卒業,1
失恋,1
決別,1
面倒臭い,1
地獄,1
まい,1
玩具,1
宝物,1
正午,1
昼下がり,1
筈,1
ピアノ,1
机,1
弾く,1
癖,1
困る,1
空っぽ,1
憎い,1
化け物,1
劣等,1
感,1
何だかんだ,1
気味,1
ラブ,1
ソング,1
儲かる,1
適当,1
答え,1
信念,1
よい,1
魅せる,1
奇跡,1
稽古,1
芝居,1
サイクル,1
ダメダメ,1
目配せ,1
効く,1
アドリブ,1
瞬く,1
頑な,1
こぼれる,1
弱音,1
だれ,1
いでる,1
横目,1
魅惑,1
アダプター,1
台本,1
ケセラセラ,1
もがく,1
きらり,1
比べる,1
役,1
変わり,1
.,1
産む,1
劇場,1
チープ,1
セット,1
SF,1
真面,1
死ねる,1
そ,1
作品,1
席,1
買える,1
脳,1
信号,1
理由,1
殺せる,1
詰まる,1
主観,1
表す,1
足す,1
教室,1
カーテン,1
愛想,1
笑い,1
他,1
自明,1
指す,1
証明,1
curtain,1
忙しい,1
疲労,1
困憊,1
彩る,1
Morning,1
うたた寝,1
お出かけ,1
Table,1
緩やか,1
バタバタ,1
散らかる,1
四季,1
折々,1
喧嘩,1
篤と,1
感ずる,1
飛礫,1
ダメ,1
タメ,1
簡単,1
せっかく,1
holiday,1
朝日,1
初夏,1
初め,1
五,1
欠伸,1
許せる,1
狭い,1
昼,1
越し,1
かっこ,1
頼りない,1
迷う,1
潜む,1
いったい,1
ぜんたい,1
信じる,1
どちら,1
補う,1
暁,1
かっこいい,1
苦しめる,1
なごめる,1
リアル,1
救ける,1
頼る,1
ほる,1
ほんの,1
大好き,1
甘える,1
すぎる,1
恨む,1
結構,1
がち,1
足元,1
尽き,1
無くす,1
れる,1
メンタル,1
成長,1
痛,1
起こす,1
無理,1
らしい,1
悩む,1
まぁ,1
精,1
怒る,1
ポンっ,1
もらえる,1
楽しむ,1
勝ち,1
主役,1
know,1
震える,1
鏡,1
かも,1
憧れる,1
翻る,1
帽子,1
旅,1
いま,1
ひしぐ,1
削れる,1
心根,1
始まり,1
奪える,1
あう,1
果てる,1
木の葉,1
進む,1
彼方,1
doubt,1
ALWAYS,1
Free,1
better,1
makes,1
gush,1
glee,1
wrap,1
smile,1
treat,1
AM,1
waiting,1
lovely,1
open door,1
date,1
becomes,1
nightmare,1
whatever,1
mood,1
Best,1
thing,1
find,1
ourselves,1
being,1
clean,1
matter,1
gotta,1
say,1
IT,1
But,1
IS,1
ALL,1
kinds,1
WILL,1
LOOK,1
 ,1
pretty,1
gonna,1
hype,1
First,1
Time,1
hyper,1
CITY,1
Singing,1
joy,1
easiest,1
feelings,1
hard,1
EXPRESS,1
giving,1
wrappings,1
Dear,1
unconditional,1
found,1
those,1
one,1
MADE,1
Every,1
Day,1
seems,1
okay,1
things,1
Together,1
most,1
brilliant,1
なくなる,1
とこ,1
まく,1
芽吹く,1
グリーン,1
きれい,1
左右,1
伸ばす,1
従う,1
確かめる,1
きる,1
静寂,1
ダサい,1
着,1
視界,1
まぶしい,1
折る,1
たたむ,1
しまう,1
逆らう,1
熱い,1
泣き,1
咲かす,1
撒ける,1
やさしい,1
意気,1
ブレス,1
